gift_item-10000001,马卡洛夫-南瓜熊熊
gift_item-30004501,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004502,M200-战地的采访者
gift_item-20004502,可解锁人形换装
gift_item-30004502,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004503,QBU-88-自然的探索者
gift_item-20004503,可解锁人形换装
gift_item-30004503,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004504,RO635-规则的实行者
gift_item-20004504,可解锁人形换装
gift_item-30004504,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004505,M4A1-时光的定格者
gift_item-20004505,可解锁人形换装
gift_item-30004505,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004506,M16A1-道路的指引者
gift_item-20004506,可解锁人形换装
gift_item-30004506,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004507,M4 SOPMODII-酒席的扫荡者
gift_item-20004507,可解锁人形换装
gift_item-30004507,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004508,ST AR-15-梦境的囚困者
gift_item-20004508,可解锁人形换装
gift_item-30004508,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004509,KSVK-楚门的旅行者
gift_item-20004509,可解锁人形换装
gift_item-30004509,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004510,Saiga-12-晨昏的裁定者
gift_item-20004510,可解锁人形换装
gift_item-30004510,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004511,Zas M76-黑夜的舞蹈者
gift_item-20004511,可解锁人形换装
gift_item-30004511,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004514,M1911-天空的击破者
gift_item-20004514,可解锁人形换装
gift_item-30004514,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004601,AK-Alfa-星夜捕猫人
gift_item-20004601,可解锁人形换装
gift_item-30004601,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004602,HP-35-小小乘风人
gift_item-20004602,可解锁人形换装
gift_item-30004602,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004603,X95-白蔷薇少女
gift_item-20004603,可解锁人形换装
gift_item-30004603,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004604,FAMAS-鸟与森语者
gift_item-20004604,可解锁人形换装
gift_item-30004604,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004605,T-5000-赤红破坏者
gift_item-20004605,可解锁人形换装
gift_item-30004605,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004606,TMP-黑猫幼稚园
gift_item-20004606,可解锁人形换装
gift_item-30004606,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004607,EVO 3-EVO 3的早晨
gift_item-20004607,可解锁人形换装
gift_item-30004607,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000540,AK-12-极昼微光
gift_item-20000540,可解锁人形换装
gift_item-30000540,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004708,阿斯特拉左轮-阿斯特拉的泳池漂流
gift_item-20004708,可解锁人形换装
gift_item-30004708,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000541,崔耶拉-暗影行动
gift_item-20000541,可解锁人形换装
gift_item-30000541,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000542,莉可-自由餐厅
gift_item-20000542,可解锁人形换装
gift_item-30000542,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000543,安洁莉卡-童话起点
gift_item-20000543,可解锁人形换装
gift_item-30000543,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000544,海莉艾塔-月神假日
gift_item-20000544,可解锁人形换装
gift_item-30000544,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10000545,库拉耶丝-晨风庭园
gift_item-20000545,可解锁人形换装
gift_item-30000545,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004702,JS 9-逆戟之行
gift_item-20004702,可解锁人形换装
gift_item-30004702,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004703,ZB-26-旖梦之隅
gift_item-20004703,可解锁人形换装
gift_item-30004703,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004704,SL8-怒涛之巅
gift_item-20004704,可解锁人形换装
gift_item-30004704,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004705,PP-19-冰冻之夏
gift_item-20004705,可解锁人形换装
gift_item-30004705,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004706,KAC-PDW-甜慕之心
gift_item-20004706,可解锁人形换装
gift_item-30004706,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004707,Ak 5-南国之风
gift_item-20004707,可解锁人形换装
gift_item-30004707,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004709,FN-49-伞中之梦
gift_item-20004709,可解锁人形换装
gift_item-30004709,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004801,NTW-20-黑铁之心
gift_item-20004801,可解锁人形换装
gift_item-30004801,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004802,AUG-葬仪阵列
gift_item-20004802,可解锁人形换装
gift_item-30004802,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004803,莫辛-纳甘-白钢锐刃
gift_item-20004803,可解锁人形换装
gift_item-30004803,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004804,Mk48-硝烟号令
gift_item-20004804,可解锁人形换装
gift_item-30004804,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
gift_item-10004805,M1897-碧空巡逻人
gift_item-20004805,可解锁人形换装
gift_item-30004805,在宿舍内赠送给对应人形，可以获得装扮、海报以及好感度奖励。
