furniture-10030001,马卡洛夫-南瓜熊熊
furniture-10004407,圣诞小屋-冬用食物桌
furniture-20004407,在意体重？你连此刻的愉悦都无法尽情享用，又怎能有眼光去捕获未来的幸福？
furniture-10004408,圣诞小屋-部落风沙发
furniture-20004408,以传统工艺品为例，很多东西只有失去了才会被珍惜，因为只有失去了才显得稀有和值钱。
furniture-10004409,圣诞小屋-懒洋洋坐垫
furniture-20004409,一旦被吸住就起不来了，“懒惰力”是超越重力的第五种作用力！
furniture-10004410,圣诞小屋-部落风墙壁
furniture-20004410,美好的事物往往在过去便被杀死，而残骸流淌至今日，令世人趋之若鹜，并称之为不朽。
furniture-10004411,圣诞小屋-部落风雕刻
furniture-20004411,人类的祖先喜欢对亲眼目睹的事物进行模仿，后来的人类可能更喜欢画些触不到的东西。
furniture-10004412,圣诞小屋-“冬日许愿”橱窗
furniture-20004412,愿望可能实现不了，但至少告诉自己生活还有希望，万念俱灰时，请至少想起这一天，你想得到幸福。
furniture-10004501,海盗遗产-潮湿甲板
furniture-20004501,禁止在甲板上斗殴、乱丢垃圾、以及滑旱冰，捞救落水的人形是很费劲的！
furniture-10004502,海盗遗产-风与阳光之窗
furniture-20004502,看开些，海洋也不过是个大一点的鱼缸，只是关你的地方比较小而已。
furniture-10004503,海盗遗产-躺在宝藏上
furniture-20004503,这是只有出卖自己的心才能获得的宝藏，你真的能躺在上面安睡吗？……没心没肺当然睡得更香了！
furniture-10004504,海盗遗产-未完成的海图
furniture-20004504,人们不想被边际束缚，却又总想找寻边际，希望的最后一定是失望，但所有人依然趋之若鹜。
furniture-10004505,海盗遗产-正义的火力
furniture-20004505,海上的正义就是活下来，剩下的到陆地上再谈。
furniture-10004506,海盗遗产-解忧杂货点
furniture-20004506,任何问题都可以在这里找到答案，敌人，朋友，全都可以混为一谈。
furniture-10004507,海盗遗产-海上快餐馆
furniture-20004507,如果有人突然说这些玩意很好吃，请小心他们眼睛中的异光和奇怪的举止。
furniture-10004508,海盗遗产-叛逆忏悔所
furniture-20004508,好好反省自己的过错，不要在里面荡秋千和跳圆圈舞！
furniture-10004509,海盗遗产-命运的展台
furniture-20004509,你可以将全部家底押在桌子上，因为明天没人保证你能不能花掉，命运就是这么无所谓的东西。
furniture-10004510,海盗遗产-深海潜伏者
furniture-20004510,不要听它说什么，请放回到海里，重复一遍，不要听它说什么，而且不好吃，请放回到海里。
furniture-10004511,海盗遗产-爱闲聊的凳子-左
furniture-20004511,没有人在乎你的故事，大家只是无聊而已，如果不互相吹牛，就只能彼此伤害了。
furniture-10004512,海盗遗产-爱闲聊的凳子-右
furniture-20004512,没有人在乎你的故事，大家只是无聊而已，如果不互相吹牛，就只能彼此伤害了。
furniture-10004513,海盗遗产-海中避风港
furniture-20004513,做好觉悟吧，如果你真想在海上寻找避风港，为什么不直接回家呢？
furniture-10004514,海盗遗产-摇曳的故乡
furniture-20004514,这是你的心，在未来的希望和被放弃的幸福之间摇摆不定。
furniture-10004515,海盗遗产-眺望的帷幕
furniture-20004515,阳光、陆地和徘徊的海鸟，总是那些与我们无关的东西看起来更美好。
furniture-10004601,像素森林-冒险用草坪
furniture-20004601,把它铺在地上，然后你就可以在额头上扎条圆形宝石的毛巾、戴上三角形垫肩，在让人打瞌睡的交响乐下踏上怎样都好的征途。
furniture-10004602,像素森林-易碎的神秘砖块
furniture-20004602,你有没有想过，一块砖头的价值可能比一枚铜币更高？
furniture-10004603,像素森林-活着的吊床
furniture-20004603,这个床会趁你睡着时偷偷生长，直到它成长到可以把你吃掉时，然后……开始思考人生。
furniture-10004604,像素森林-合金烹饪锅
furniture-20004604,再添把火！也许你就可以驾驶它了！
furniture-10004605,像素森林-旧日的坦克
furniture-20004605,它会让你的战斗更加轻松和华丽，在过去你需要靠技术赢得它，而不是用真金白银。
furniture-10004606,像素森林-沉思的树桩
furniture-20004606,树桩不会思考什么，坐在上面的你却可以，这很公平，你在享受它的服务，而它在嘲笑你。
furniture-10004607,像素森林-筋肉型招牌
furniture-20004607,你有想过这些奇形怪状的子弹在现实中的可行性吗？没有？那你可以享受其中了。
furniture-10004608,像素森林-摇摇曳曳的帐篷
furniture-20004608,再休息一会儿吧，再沉浸一会儿吧，过去人们的幻想是为了接受现实，而现在，幻想是为了能逃离它，或者改变它。
furniture-10004609,像素森林-只是碰巧路过的熊
furniture-20004609,这头熊在这个世界并不会伤害人，但是你可以伤害它……所以为什么不呢？我们可是拥有自由意志而为所欲为的高贵人类啊！
furniture-10004610,像素森林-勇敢者丛林
furniture-20004610,探索这片森林，直到你吃掉了所有蘑菇而游戏还没结束。
furniture-10004611,像素森林-空中树屋
furniture-20004611,建造这样的屋子不仅需要挖很多材料，还需要判断你的地图顶端够不够这么高。
furniture-10004612,像素森林-摇不醒的酒瓶
furniture-20004612,拿起酒瓶，打翻人生，生命本身就是件无聊的东西，除了故事，没有什么真正值得享受。
furniture-10003104,TapTap!
furniture-20003104,TapTap专属纪念家具。
furniture-10002004,海报-2016魔方行动
furniture-20002004,2016夏季活动-魔方行动的特典海报。
furniture-10002005,海报-2017失温症
furniture-20002005,2017冬季活动-失温症的特典海报。
furniture-10002006,海报-2017深层映射
furniture-20002006,2017夏季活动-深层映射的特典海报。
furniture-10004701,单车日记-水泥地面
furniture-20004701,就像专业的车库一样，耐脏耐磨的地面永远是轮胎最好的伙伴，遇到了就请尽情践踏它。
furniture-10004702,单车日记-武器柜
furniture-20004702,在疾行的载具上持枪是战术人形的浪漫！现在添购这项配件还可获得单手花式装填的教程！
furniture-10004703,单车日记-前台工具柜
furniture-20004703,大众想得到最直接的保养所需物品都会放在这里，机油、防冻液、最重要的，当然还有大家的好伙伴WD40！
furniture-10004704,单车日记-周边商品柜
furniture-20004704,模型、纪念品、臂章或是子弹，这些东西能够唤醒大家内心深处身为骑手的情怀……尤其在你发现那些摩托统统买不起的时候。
furniture-10004705,单车日记-零件展柜
furniture-20004705,自定义的改装配件永远有种使用者可以自由选择的错觉，其实一切都注定好了，就像人生一样。
furniture-10004706,单车日记-把手架
furniture-20004706,或许比起把手本身，这东西与车子的连接处坚固与否会更重要一些……尤其是计算指挥官会以多少G的力道被人形从后座甩出去时
furniture-10004707,单车日记-战术自行车
furniture-20004707,能挂载大量军用工具，甚至还能吃汽油，你可以骑着它去很远的地方，露营、野炊、看星星……除了逃离末日，你可以靠它去任何地方旅行。
furniture-10004708,单车日记-单车展示架
furniture-20004708,特别放在店里的主要位置就意味着卖家对这几台车有绝对的自信，不管是做工、设计还是附加价值……所以，绝对不要上当！买你真正需要的型号！
furniture-10004709,单车日记-楼梯
furniture-20004709,站在高处俯瞰各式各样的摩托型号如同博物馆一般，区别在于你可以亲自把它们骑回家！
furniture-10004710,单车日记-硬朗的沙发
furniture-20004710,这款质地坚硬的沙发是特别为了硬派的人形女士准备的，它为自己没沾过半点巧克力或者奶油冰淇淋而自豪。
furniture-10004711,单车日记-军用摩托车
furniture-20004711,带它走吧，这匹战马只想回到真正的战场上继续驰骋，而不是苟活于战争电影的虚伪布景里！
furniture-10004712,单车日记-仓库橱窗
furniture-20004712,对外都会宣称是放置其他二手车的仓库，但实际上这里是专门用来放置著老板收藏的非卖品。虽然是这样说，不过销售员都会偷偷骑著它们出去兜风。
furniture-10004713,单车日记-大件分解展示墙
furniture-20004713,为了营造店内尊绝不凡的气氛而特别设置的展示墙，可以让小孩子站在它前面赞叹不已，通常摆得很高以减少这些可怕生物留下指纹。
furniture-10004714,单车日记-待出售的单车
furniture-20004714,太久没卖出去的话，维修部的技师会拆它们的零件去修其他的车。只留下很多故事，没人听过，但确实有人亲身经历过的故事
furniture-10004801,关东往事-雪地里的小画家
furniture-20004801,小鸡画竹叶，小狗画梅花，小鸭画枫叶，小马画月牙……小孩跑来做什么？一脚一脚踩烂它！
furniture-10004802,关东往事-爆米花机
furniture-20004802,这是中国传统的爆米花烘焙工具，虽然看起来更像是用于邪恶炼金术的仪器，不过你要相信它其实很安——砰！//n以上就是大家以为56半刚从非洲回来的原因。
furniture-10004803,关东往事-开门红
furniture-20004803,用于驱赶不幸和偷盗的鸟类……小孩子不行，小孩子会被吸引过来，然后一把抢走你的锣槌和睡眠。
furniture-10004804,关东往事-墙角数枝梅
furniture-20004804,从耐寒的梅花中，你不能学习些什么吗？——88式//n肯吃苦的人会没朋友。——80式
furniture-10004805,关东往事-爆竹铺子
furniture-20004805,不同于军火，烟花往往代表着喜悦……——95式//n不过用军火获得胜利不也是喜悦吗，哪里不一样嘛！——97式
furniture-10004806,关东往事-小冰灯
furniture-20004806,救命！我被格里芬的人形施了冰魔法，只有真爱之吻才可以……——？？//n才可以吃吗？那我可要亲了啊！——56-1式//n不，大大，别这样！我现在就出来！——T65
furniture-10004807,关东往事-寒枝历岁寒
furniture-20004807,你要教我什么？——63式//n把朋友约到下面再对着树踹上一脚是常见的民间娱乐项目……以及运动！哈哈哈哈来抓我啊！——59式
furniture-10004808,关东往事-小吃铺子
furniture-20004808,吃完了竹签子别乱丢，明年接着用。——92式//n已经用了两年了吧！可持续发展也要有个限度啊！——79式//n有限度了，还叫什么可持续发展？——92式
furniture-10004809,关东往事-雪孩子
furniture-20004809,雪人长生的秘诀是更加持久的残酷气候和没有人去搭理它陪它玩耍……真是个别扭的家伙啊。
furniture-10004810,关东往事-小茶桌
furniture-20004810,听说你们会一边喝茶一边聊天哦，不怕被珍珠噎到吗？——T91//n我们聊的就是你们会不会被珍珠噎到的话题啊。——64式
furniture-10004811,关东往事-冰与火之歌
furniture-20004811,对于人类幼体而言，爆竹和军火没什么两样：用于娱乐、具有杀伤力、而且只用在不方便清理的场合。
furniture-10004812,关东往事-小竹凳-右
furniture-20004812,吱吱呀呀的声音和对坐姿的刁钻要求，使一些神经质的理科生很不适应，也许这是中国古代科研不发达的原因。
furniture-10004813,关东往事-小竹凳-左
furniture-20004813,吱吱呀呀的声音和对坐姿的刁钻要求，使一些神经质的理科生很不适应，也许这是中国古代科研不发达的原因。
furniture-10004814,关东往事-马扎子
furniture-20004814,重要的日常生活道具，坊间娱乐、走亲访友、乘坐车辆、打架斗殴时都会用到。——97霰//n请别再给我添麻烦了好吗！——八一式马
furniture-10004815,关东往事-福临门
furniture-20004815,新年新气象！——JS05//n除了你，大家都是旧的，有什么庆祝的必要吗？——NZ75//n大家都在这里，才是真正值得庆祝的事情啊！——JS05
furniture-10002007,海报-2018塌缩点
furniture-20002007,2018冬季活动-塌缩点的特典海报。
furniture-10004901,梯队收藏-战术地板
furniture-20004901,看起来很符合硬派指挥官的气质，当然，大部分硬派玩意和同类的区别也只是“看起来”。
furniture-10004902,梯队收藏-战术人偶AK12
furniture-20004902,以一名总是双目紧闭的人形为原型的等身人偶，她对万事万物充满好奇，但很少介入其中，野性是个不稳定的炸弹，她知道。
furniture-10004903,梯队收藏-战术立牌CZ75
furniture-20004903,以一名暴躁愤怒的人形为原型的等身立牌，不善表达情感的她，喜欢用行动解决所有麻烦和善意……嗯，“解决”。
furniture-10004904,梯队收藏-战术立牌SAT8
furniture-20004904,以一名开朗稳重的人形为原型的等身立牌，遇到意外状况会失态，遇到可爱事物也会失态……前言收回，也许她没那么稳重。
furniture-10004905,梯队收藏-战术立牌M99
furniture-20004905,以一名乖巧温和的人形为原型的等身立牌，战场之外的她喜欢烹饪和兔子，但是不要在她面前烹饪兔子，否则她会咬人。
furniture-10004906,梯队收藏-休闲漫画柜
furniture-20004906,翻阅之前请注意一条铁则，先确认完结卷也在柜子里。
furniture-10004907,梯队收藏-休闲手办柜
furniture-20004907,“快乐是可以用金钱换来的”，站在被填满的柜子面前时，你会由衷地这么想，又名“我只是想让大家都得到幸福而已！”
furniture-10004908,梯队收藏-休闲设备柜
furniture-20004908,用来存放一些曾经是最新型的电子设备，又名不理智消费博物馆或者灰尘采集器。
furniture-10004909,梯队收藏-休闲小茶几
furniture-20004909,温馨时刻总是宝贵的，你需要努力拼搏才能换来这一天，或者什么都不做，现在就享受也可以。
furniture-10004910,梯队收藏-休闲游戏柜
furniture-20004910,你会说现在的游戏没有过去有趣了，你会说游戏变了、你变了、时代变了，其实什么都没变，只要你还喜欢。
furniture-10004911,梯队收藏-休闲游戏机
furniture-20004911,《什么是未来》//n“猜猜将来游戏是什么样？也许PONG是彩色的，会记录分数，甚至能和朋友对打！”//n“欢迎来到未来——”//n“我了个……”
furniture-10004912,梯队收藏-战术电脑椅
furniture-20004912,充满未来感的电子工程椅，所谓的未来感就是懒，所谓的懒就是更好的生活。
furniture-10004913,梯队收藏-休闲电脑椅-左
furniture-20004913,一点都不休闲，尤其在你想午睡或者想手搭在扶手上假装沉思的时候，这是人类探索科学道路上的一次不幸尝试。
furniture-10004914,梯队收藏-休闲电脑椅-右
furniture-20004914,一点都不休闲，尤其在你想午睡或者想手搭在扶手上假装沉思的时候，这是人类探索科学道路上的一次不幸尝试。
furniture-10004915,梯队收藏-休闲懒人椅-红
furniture-20004915,世界在灭亡，我们不闻不问，只是躺在上面融化掉。
furniture-10004916,梯队收藏-休闲懒人椅-蓝
furniture-20004916,别太在意，浪费时间是人类的特长，最好别荒废它。
furniture-10004917,梯队收藏-战术钢板墙
furniture-20004917,隔音效果很棒，你可以偷偷做一些自我满足的事情不被察觉，比如加班。
furniture-10004918,梯队收藏-战术射灯
furniture-20004918,自带[开启引用模式]战术[引用模式结束]模式，请在每次使用前对接口令并扫描虹膜再回答当前执勤人形的指甲油颜色。
furniture-10005001,婚礼现场-婚礼用草地
furniture-20005001,草地意味着天然纯洁，虽然我们会先烧掉野草后再种植修剪它们，仪式嘛，本来就是将多余打扮得顺理成章。
furniture-10005002,婚礼现场-摄影用轨道
furniture-20005002,可用于拍摄一个漂亮的长镜头，需要充沛的摄影技术和一些安分的人形演员，和一部真有必要用到的电影和游戏。
furniture-10005003,婚礼现场-婚礼城墙远景
furniture-20005003,竖立在远方的城堡背景，也许没有看上去那么远方，只是小而已。
furniture-10005004,婚礼现场-婚礼城墙近景
furniture-20005004,竖立在近处的城堡背景，它很高，希望倒下时你碰巧站在拱门之间。
furniture-10005005,婚礼现场-婚礼城门背景
furniture-20005005,竖立在正中的城堡背景，忽略头顶那些不必要的东西，假装一切是真的，就像面对自己感情一样。
furniture-10005006,婚礼现场-摄影导演工作位
furniture-20005006,坐在这个位子假装在掌控所有事情，就算一切早就决定好，至少你还有搞砸它的机会。
furniture-10005007,婚礼现场-婚礼用敞篷车
furniture-20005007,有人坐在车里哭泣，我们又如何知道这不是喜极而泣呢？
furniture-10005008,婚礼现场-摄影用射灯
furniture-20005008,与黑暗一样，光明也可以掩盖真实，是的，艺术本来就是为了掩盖真实。
furniture-10005009,婚礼现场-摄影用相机
furniture-20005009,它很荣幸用于见证人类的历史，但是别问它核弹和巧克力的发明哪个更重要。
furniture-10005010,婚礼现场-婚礼用花门
furniture-20005010,羡慕这样的家伙，它见证到的永远是幸福的一瞬，而不是之前和之后的坎坷。
furniture-10005011,婚礼现场-摄影用摄像机
furniture-20005011,它知道世界在活着，比我们知道得更多更深刻，因为它不需要节外生枝的思考。
furniture-10005012,婚礼现场-摄影背景墙
furniture-20005012,表明这里发生的都只是为了个视频文件，能触摸到的东西注定不怎么浪漫。
furniture-10005013,婚礼现场-摄影用天空幕布
furniture-20005013,幕布背后也许就是真实的生活，或者只是一面闯不过的墙，有差别吗？
furniture-10005014,婚礼现场-摄影柔光箱
furniture-20005014,使拍出来的东西比真相更美好……谁喜欢真相，真相是我们就是群会说谎的猴子。
furniture-10005015,婚礼现场-婚礼用桌子
furniture-20005015,献上祝福吃光东西就拍拍屁股走人，不然呢？幸福是最短暂的，在回忆之前请先充分享受。
furniture-10005016,婚礼现场-婚礼用椅子
furniture-20005016,座位上角色的数量重于内容，且大部分电影里充当的只是抢婚时大惊小怪的人肉背景。
furniture-10050502,甜蜜时刻-自宅警备队标志
furniture-20050502,又一个揭示了生活本来面目的标志。而“真相”，是否一定是真实的？
furniture-10050503,甜蜜时刻-婚礼用窗纱
furniture-20050503,每当看到窗帘上的花饰便能想起那甜蜜的一瞬——即使其中充斥着不属于自己的幸福。
furniture-10002008,复活节的白兔
furniture-20002008,这个巨大的玩偶是节日的象征。在玩偶的内部似乎发出了一些奇怪的声音……也许这象征着新生命的骚动。//n喂，你们看到班长了吗？她人怎么不见了！——97霰
furniture-10002009,兔子麦克风
furniture-20002009,复活节派对上使用的麦克风，用符合节日气氛的装饰稍稍点缀了一下。//n用这个麦克风，唱歌时的风格大概会变得可爱起来吧。——M950A
furniture-10002010,兔耳朵音箱
furniture-20002010,复活节派对上使用的音箱，拥有和节日主题相符的兔子耳朵。//nART556，音箱上的装饰你随时都可以摸，但不准再拆掉它们了哦。——G36
furniture-10002011,彩蛋挂饰：小心引爆
furniture-20002011,复活节必备的彩蛋。比起它本身，打开它之后能够收获的东西才是每个人关注的重点。//n呜……这个彩蛋……看上去和某些会爆炸的可怕东西很像啊。——G11
furniture-10003105,旧日的音游街机
furniture-20003105,以淳朴玩法与优秀音乐而闻名，曾在人类间引领音乐游戏潮流的音游街机。“从L到O再到V和E，你就是我人生的意义。”
furniture-10003106,梦中的水晶球
furniture-20003106,希望她眼中的景色、记忆和心意都依靠新生的歌声传达给了你，即使在这毁灭之后的世界，“我此刻的心……It's Only For You.”
furniture-10005201,游鱼飞雁-石路漫漫
furniture-20005201,踩在这上面才会有脚踏实地的感觉吗？明明是最凹凸不平的路面……
furniture-10005202,游鱼飞雁-碧草行云
furniture-20005202,有些小小的花朵已经提前开了，如果你注意到了，它们也许会很开心。
furniture-10005203,游鱼飞雁-小桥凌波
furniture-20005203,你知道鱼有多快乐吗？鱼不知道你有多快乐，也不想知道。
furniture-10005204,游鱼飞雁-长明雅灯
furniture-20005204,需要踩着凳子才能添油，所以人类后来发明了电灯。
furniture-10005205,游鱼飞雁-先祖祭桌
furniture-20005205,放飞的思念哪里也到不了，最终只会流回你的心里，但希望它的旅程会给你力量。
furniture-10005206,游鱼飞雁-三色座鼓
furniture-20005206,三种颜色代表天地人的融合，从科学和人生经验上讲，三者都是水火不容的。
furniture-10005207,游鱼飞雁-山下将军
furniture-20005207,把它放在这里用于祈福，但它只想谁能关一下自动水龙头，并远离这个虚伪的现代世界。
furniture-10005208,游鱼飞雁-蟠树石火
furniture-20005208,灯前是很温暖的，树下是很凉快的，坐在它们之间的人是很清闲的，可惜那不是我。
furniture-10005209,游鱼飞雁-林中添水
furniture-20005209,最初是为驱赶鸟儿而制作的，不过这个时代就算用面包屑鸟儿也基本不会来了呢。
furniture-10005210,游鱼飞雁-后庭乘凉
furniture-20005210,是啊，如果睡觉经常打滚的确需要个大屋子。也许金钱就是为各种有缺陷的人准备的。
furniture-10005211,游鱼飞雁-寻猫小记
furniture-20005211,猫很喜欢你，但是它们还是会迷路，你也应该喜欢你自己，尽管有时会迷失自己。
furniture-10005212,游鱼飞雁-前院栽树
furniture-20005212,只有被褥和枕头是必要的，剩下的都只是人生的装饰，墙、树、贵重的瓷器都是。
furniture-10005213,游鱼飞雁-草堂春眠
furniture-20005213,春困秋乏夏打盹，睡不醒的冬三月，幸福就是你不会计较时间到底有没有浪费掉。
furniture-10003107,精英奇妙冒险勋章
furniture-20003107,纪念该指挥官及其麾下的战术人形达成的超乎常识的奇妙冒险。
furniture-10050602,钢之巨人
furniture-20050602,看起来宛如世界名画的墙壁挂饰……每次看到它都会觉得心情沉重。
furniture-10005301,漫展风波-展会空地
furniture-20005301,就算光脚踩上去也没问题，只要全程踩着别人拖地的长裙子就行了
furniture-10005302,漫展风波-签绘区柜台
furniture-20005302,请勿拍摄和录像，这里只有一个安静签绘中的人类和一颗大大的爱心。
furniture-10005303,漫展风波-展会广告
furniture-20005303,宣传片是展会上的重要竞争力，所以开始吧！现在是时候较量喇叭音量的大小了！
furniture-10005304,漫展风波-展会顶灯
furniture-20005304,它们给人带来光明，但从不过于耀眼，并不是它们不想，而是展会总有更耀眼的东西。
furniture-10005305,漫展风波-现场工厂平台
furniture-20005305,运气也是实力的一种……？不，运气是实力的全部。
furniture-10005306,漫展风波-周边区人群
furniture-20005306,可利用排队时间整理您的购物袋们，通过合理嵌套为漫展的秩序和宇宙法则的和谐统一做出一份贡献。
furniture-10005307,漫展风波-签绘区人群
furniture-20005307,这个队列在等待什么呢？也许只是个名字，也许那是一份嵌在纸板上的深深敬意。
furniture-10005308,漫展风波-展会护栏
furniture-20005308,漫展是一座围城，城外的人想进去，城里的人想出来。
furniture-10005309,漫展风波-现场指挥平台
furniture-20005309,下达您的命令吧，指挥官！顺便站在这里，体验一下副官每天的工作和心情。
furniture-10005310,漫展风波-周边区展柜
furniture-20005310,生活不需要太多兵蚁，但除了必要的生存资料，生活还需要什么呢？也许它们可以给你。
furniture-10005311,漫展风波-现场展板
furniture-20005311,等身高的战术人形展板，有时漫展结束后会经由本尊或者其姐姐亲自抱回去。
furniture-10005312,漫展风波-现场摄影师
furniture-20005312,如果镜头长度真的那么重要，还要修图软件做什么？
furniture-10005313,漫展风波-现场宣传板
furniture-20005313,大家都能看出，这个人形只是个巨大的装饰物……//n直到她自己突然动起来，喊着“我饿了”。
furniture-10005314,漫展风波-周边区柜台
furniture-20005314,“欢迎光临，指挥官！等待了那么久，跨越了漫漫人海才终于见到您，所以……来都来了，不买点什么吗？”——格琳娜
furniture-10005315,漫展风波-周边区展架
furniture-20005315,大部分人形大概不希望自己一直这样被吊在架子上，请快点解救她们吧！
furniture-10005316,漫展风波-现场指挥椅
furniture-20005316,格里芬指挥室的椅子比这个豪华多了，只要与战争相关总会被包装得富丽堂皇。
furniture-10005317,漫展风波-展会会场
furniture-20005317,没有神仙，没有皇帝，只有人！这里只有人！全部都是人！
furniture-10005401,周六夜狂欢-舞厅地板
furniture-20005401,原本光滑到可以嘲讽室外同行的地板，会随着不断洒上的饮料和零食而渐渐丧失它的尊严。
furniture-10005402,周六夜狂欢-电子跳舞毯
furniture-20005402,这种平民娱乐设备却依托于精巧的数学和美术设计，所以醒醒！我们的一切都在上层精英们的掌控之下！
furniture-10005403,周六夜狂欢-狂欢酒桌
furniture-20005403,用来放置零食和饮料然后一次性全部掀翻！为什么不呢？我们背负的生活，可比一年摔一次的桌子沉重多了！
furniture-10005404,周六夜狂欢-聚会小冰箱
furniture-20005404,为了这个夜晚，干杯！……不过空瓶子请不要乱丢，92式会收走它们然后卖掉。
furniture-10005405,周六夜狂欢-二周年蛋糕
furniture-20005405,尽情品尝吧，为了每一个不受束缚的灵魂！虽然每吃一口就会为自己加重一份地心引力！
furniture-10005406,周六夜狂欢-聚会立式灯
furniture-20005406,聚会时这种灯光只能充当霓虹污染下的一道安静油彩，所以你想谈点什么？天气还是故事？
furniture-10005407,周六夜狂欢-吉祥物气球
furniture-20005407,它们沉浸在美好的气氛中等待自己的命运，在欢声笑语中慢慢泄气，或者在即兴的恶作剧中被踩爆。
furniture-10005408,周六夜狂欢-聚会打碟机
furniture-20005408,无论宾客自称多么叛逆，结果还是跟着节奏去摇头晃脑，就像喜欢炸街的摩托最终还是得看到红灯就停一样。
furniture-10005409,周六夜狂欢-舞厅壁纸
furniture-20005409,万物源于黑暗，满是生机的狂欢也会稍纵即逝，你们离开后，它将很孤独。
furniture-10005410,周六夜狂欢-夜景窗户
furniture-20005410,你很在乎窗外的世界吗？有人在挨饿，有人在哭泣，所以你不该更加快乐吗，就像水果沾了盐会更加甘甜？
furniture-10005411,周六夜狂欢-聚会老海报
furniture-20005411,时代很遥远，有些时代很近，但它们都过去了，只有明天，没有此刻。
furniture-10005412,周六夜狂欢-狂欢霓虹灯
furniture-20005412,今夜让我们尽情狂欢吧！因为明天这个墙饰被本尊看到一定会拆个粉碎！
furniture-10005413,周六夜狂欢-星星彩灯
furniture-20005413,这些不是真正的星星，真正的星星藏在很远的地方，而且可能不太欢迎我们。
furniture-10005414,周六夜狂欢-老虎长沙发
furniture-20005414,老虎玩偶不会吃掉你，但沙发却有可能，然后在天亮时才把你吐出来。
furniture-10005415,周六夜狂欢-狂欢沙发椅
furniture-20005415,对方坐在沙发对面，在失控的嘈杂中聆听着你，也许是喜欢你，也许是喝醉了，也许两者都是，也许你只有这一晚的时间。
furniture-10005501,游乐园之星-乐园石地板
furniture-20005501,地板越脏证明游乐园越受欢迎，那么地板会越开心吗？也许我们该雇佣些更笨的石砖。
furniture-10005502,游乐园之星-晴空大城堡
furniture-20005502,那些向往城堡高于爱情的人，是不是真的更加现实呢？那些追求爱情而非城堡的人，是不是真的更加勇敢呢？
furniture-10005503,游乐园之星-爆米花小铺
furniture-20005503,请不要携带到任何娱乐设施上，谁会忍心让刚挣脱了各种混乱而新生的它们再来一次冲击呢？
furniture-10005504,游乐园之星-打靶者小铺
furniture-20005504,每一份奖品都意味着一只兵蚁被射爆！……所以还等什么呢！修复不完整的童年！人类，尽情欺凌弱小吧！
furniture-10005505,游乐园之星-乐园蛋路灯
furniture-20005505,它被大地束缚了太久，一旦人气再升温一点，它会孵化出小鸟寻找蓝天。
furniture-10005506,游乐园之星-星球巡航机
furniture-20005506,你不会乘上它进入真正的太空，尤其在长大之后。
furniture-10005507,游乐园之星-飓风过山车
furniture-20005507,人类未来有无数种可能性，唯独不可能用过山车上的尖叫声来代替战争。
furniture-10005508,游乐园之星-飓风首发站
furniture-20005508,这是最后反悔的机会！我知道你是被你的亲友绑架来的，现在是争取自由的时候了！
furniture-10005509,游乐园之星-纪念品小铺
furniture-20005509,还有什么比照片和纪念品更有纪念价值的东西吗？该不会是记忆吧？
furniture-10005510,游乐园之星-棉花糖小铺
furniture-20005510,人们通常把梦想比喻成棉花糖，相信我，梦想远没有棉花糖更柔软和美味。
furniture-10005511,游乐园之星-碰碰车广场
furniture-20005511,想开真的？那就没法这么奢侈地碰撞啦！
furniture-10005512,游乐园之星-乐园售票口
furniture-20005512,来购买快乐吧！不然你为什么来到这里？现实有那么可怕吗？
furniture-10005513,游乐园之星-垂直太空梭
furniture-20005513,和平期间人们会用这件设施来体验死亡，也许虚假的东西不一定是错的，情绪也好，人形也好。
furniture-10002012,端午节龙舟
furniture-20002012,传统的竞赛让节日变得更加独特，胜利的喜悦让节日变得更加快乐！
furniture-10002013,端午粽子秋千
furniture-20002013,岁月来去如风，残留的记忆变为传说，而传说也终将被遗忘，不会被忘记的，只有节日的美味。
furniture-10002014,端午传统鼓乐
furniture-20002014,鼓乐的激励效果是多重的——无论是节日的氛围还是龙舟手的斗志，都会变得更加高昂。
furniture-10002015,端午粽子猫
furniture-20002015,它从哪里来？为什么背着粽子？这都不重要。节日需要一个小精灵，所以它就出现在了这里，仅此而已。
furniture-10050701,钻石密使
furniture-20050701,合格的特工在潜入前会详细设定好自己的身份，代表自己的精致卡片也是专业的象征。
furniture-10050702,时光王座
furniture-20050702,世上没有永恒的王座。权力宛如细沙，会一点点地从指缝中流走。
furniture-10005601,南洋小馆-方石地砖
furniture-20005601,并不是地板，小孩子趴在上面玩很不舒服，甚至着了凉，所以收到了很多差评。
furniture-10005602,南洋小馆-雨林小苑
furniture-20005602,放眼望去，你与真正的大自然只有咫尺之隔，食人的丛林、黏糊糊的空气和残忍的蚊虫在等待着你。
furniture-10005603,南洋小馆-小馆柜台
furniture-20005603,为您提供酒水和音乐服务，只有购买酒水的客人才有权切换音乐，给越多小费可以把音量调越大哦。
furniture-10005604,南洋小馆-华纹地毯
furniture-20005604,有的人会注意到其繁复优美的图案，这种人往往对现实世界有大量不满，请小心相处。
furniture-10005605,南洋小馆-洋酒立柜
furniture-20005605,陈列着大量名贵洋酒，因为摆得太过整齐严密导致更换很麻烦，所以并不出售。
furniture-10005606,南洋小馆-芭蕉盆栽
furniture-20005606,诗人们看到芭蕉很孤独，为它们写的诗流芳百世，但孤独究竟是什么？也许只有芭蕉知道，也许只有芭蕉不知道。
